                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.20778,                0.33943,                 0.9031,                0.57231,                0.50579,                0.53273,                0.26999,                 2.0161,                 1.9053,                 2.7177,                0.00439,                0.00439,                0.00439
                     37,                0.20682,                0.33587,                0.90152,                0.57774,                0.53355,                0.53874,                0.27888,                 1.9657,                 1.8999,                 2.6864,               0.004225,               0.004225,               0.004225
                     38,                0.20552,                0.33243,                0.89963,                0.55781,                0.49089,                0.49192,                 0.2546,                 2.0059,                 1.9537,                 2.7072,                0.00406,                0.00406,                0.00406
                     39,                0.20207,                0.33236,                0.89822,                0.60966,                0.59718,                0.58578,                0.31566,                 1.6894,                 1.7591,                 2.4437,               0.003895,               0.003895,               0.003895
                     40,                0.20178,                0.32837,                0.89833,                0.54316,                0.54682,                0.52881,                0.28454,                 1.7643,                 1.8954,                 2.4976,                0.00373,                0.00373,                0.00373
                     41,                0.19847,                0.32241,                 0.8972,                0.56713,                0.58781,                0.56948,                0.31638,                 1.7027,                 1.8221,                 2.4828,               0.003565,               0.003565,               0.003565
                     42,                0.19554,                0.31915,                0.89599,                0.58262,                0.58069,                0.56324,                0.31796,                 1.6389,                 1.8538,                 2.4044,                 0.0034,                 0.0034,                 0.0034
                     43,                0.19646,                0.31747,                0.89602,                0.58429,                0.54318,                0.56158,                0.31133,                 1.7426,                 1.8801,                 2.5051,               0.003235,               0.003235,               0.003235
                     44,                0.19162,                0.30994,                0.89475,                0.49464,                0.49196,                 0.4714,                0.26192,                 1.8369,                 1.9417,                 2.6095,                0.00307,                0.00307,                0.00307
                     45,                    inf,                0.31249,                 0.8958,                  0.502,                0.48649,                0.47318,                0.26283,                 1.9273,                 1.9738,                 2.6814,               0.002905,               0.002905,               0.002905
                     46,                0.18989,                0.30699,                0.89307,                 0.5552,                0.51744,                0.50231,                0.27883,                 1.8881,                 1.8965,                 2.6694,                0.00274,                0.00274,                0.00274
                     47,                0.18648,                0.30226,                 0.8931,                0.59419,                0.53787,                0.54338,                0.29704,                 1.8075,                   1.81,                  2.605,               0.002575,               0.002575,               0.002575
                     48,                0.18767,                0.30248,                0.89337,                0.60736,                0.59055,                0.58718,                0.32908,                 1.7254,                  1.752,                 2.5074,                0.00241,                0.00241,                0.00241
                     49,                0.18374,                0.29674,                0.89122,                0.59069,                0.57883,                 0.5544,                0.30425,                 1.7959,                 1.8351,                 2.5732,               0.002245,               0.002245,               0.002245
                     50,                0.17961,                0.29059,                0.88909,                0.58367,                0.58525,                0.56131,                0.31371,                 1.7969,                 1.8537,                 2.5421,                0.00208,                0.00208,                0.00208
                     51,                0.16917,                0.24175,                0.88479,                 0.5552,                0.54197,                0.52341,                0.29303,                 1.8169,                 1.9325,                 2.5846,               0.001915,               0.001915,               0.001915
                     52,                0.16599,                0.23137,                0.88228,                 0.5289,                0.49666,                0.47748,                0.26449,                 1.9003,                 2.0298,                 2.6694,                0.00175,                0.00175,                0.00175
                     53,                0.16314,                0.22707,                0.87918,                0.52997,                0.49684,                0.47648,                0.26123,                 1.8524,                 2.0805,                 2.6343,               0.001585,               0.001585,               0.001585
                     54,                0.16196,                0.22291,                0.88001,                0.56973,                 0.5255,                0.51405,                0.28005,                 1.7876,                 2.0577,                 2.5837,                0.00142,                0.00142,                0.00142
                     55,                    inf,                0.21802,                0.87829,                0.54849,                0.51141,                0.50235,                0.27222,                 1.8079,                 2.0931,                 2.5632,               0.001255,               0.001255,               0.001255
                     56,                0.15802,                0.21552,                0.87938,                0.53583,                0.52028,                0.49373,                0.26498,                 1.7811,                 2.0909,                 2.5107,                0.00109,                0.00109,                0.00109
                     57,                 0.1561,                0.21186,                0.87828,                0.52933,                0.50508,                0.47977,                0.25876,                 1.8214,                 2.1101,                 2.5401,               0.000925,               0.000925,               0.000925
                     58,                0.15316,                0.20536,                0.87889,                0.52868,                0.49544,                0.47665,                 0.2572,                 1.8356,                 2.0943,                 2.5479,                0.00076,                0.00076,                0.00076
                     59,                0.15175,                0.20466,                0.87674,                0.51377,                0.49125,                0.47135,                0.25469,                 1.8542,                 2.1004,                  2.566,               0.000595,               0.000595,               0.000595
                     60,                0.15083,                0.20038,                0.87403,                0.51319,                0.49097,                0.46936,                0.25484,                 1.8569,                 2.0943,                 2.5634,                0.00043,                0.00043,                0.00043
